iter	Passed	Remaining
780	3201	897
781	3205	893
782	3209	889
783	3213	885
784	3217	881
785	3221	876
786	3224	872
787	3228	868
788	3231	864
789	3235	860
790	3239	855
791	3244	852
792	3248	847
793	3251	843
794	3255	839
795	3259	835
796	3263	831
797	3267	827
798	3271	823
799	3275	818
800	3279	814
801	3283	810
802	3287	806
803	3292	802
804	3297	798
805	3302	794
806	3306	790
807	3310	786
808	3313	782
809	3321	779
810	3327	775
811	3331	771
812	3335	767
813	3339	763
814	3343	758
815	3346	754
816	3350	750
817	3354	746
818	3357	742
819	3361	737
820	3365	733
821	3368	729
822	3373	725
823	3377	721
824	3380	717
825	3384	712
826	3388	708
827	3391	704
828	3396	700
829	3400	696
830	3404	692
831	3408	688
832	3411	683
833	3415	679
834	3419	675
835	3424	671
836	3428	667
837	3432	663
838	3436	659
839	3439	655
840	3443	651
841	3447	646
842	3450	642
843	3454	638
844	3458	634
845	3462	630
846	3465	626
847	3469	621
848	3473	617
849	3477	613
850	3482	609
851	3487	605
852	3491	601
853	3495	597
854	3498	593
855	3502	589
856	3505	585
857	3509	580
858	3514	576
859	3518	572
860	3521	568
861	3525	564
862	3529	560
863	3533	556
864	3537	552
865	3540	547
866	3545	543
867	3550	539
868	3554	535
869	3558	531
870	3562	527
871	3566	523
872	3570	519
873	3574	515
874	3578	511
875	3582	507
876	3586	503
877	3590	498
878	3594	494
879	3597	490
880	3602	486
881	3606	482
882	3610	478
883	3614	474
884	3618	470
885	3622	466
886	3626	462
887	3630	457
888	3634	453
889	3638	449
890	3643	445
891	3647	441
892	3651	437
893	3656	433
894	3660	429
895	3664	425
896	3667	421
897	3672	417
898	3676	412
899	3679	408
900	3684	404
901	3688	400
902	3692	396
903	3697	392
904	3700	388
905	3704	384
906	3708	380
907	3712	376
908	3716	372
909	3720	367
910	3724	363
911	3727	359
912	3731	355
913	3734	351
914	3738	347
915	3742	343
916	3747	339
917	3751	335
918	3754	330
919	3759	326
920	3763	322
921	3766	318
922	3770	314
923	3774	310
924	3777	306
925	3782	302
926	3785	298
927	3789	294
928	3793	289
929	3797	285
930	3800	281
931	3804	277
932	3808	273
933	3812	269
934	3816	265
935	3821	261
936	3826	257
937	3830	253
938	3834	249
939	3838	245
940	3842	240
941	3845	236
942	3850	232
943	3855	228
944	3858	224
945	3862	220
946	3866	216
947	3870	212
948	3874	208
949	3878	204
950	3882	200
951	3886	195
952	3890	191
953	3893	187
954	3897	183
955	3901	179
956	3905	175
957	3909	171
958	3912	167
959	3916	163
960	3920	159
961	3923	154
962	3927	150
963	3931	146
964	3934	142
965	3938	138
966	3942	134
967	3945	130
968	3949	126
969	3952	122
970	3957	118
971	3961	114
972	3964	110
973	3968	105
974	3972	101
975	3976	97
976	3979	93
977	3983	89
978	3987	85
979	3991	81
980	3995	77
981	3998	73
982	4002	69
983	4006	65
984	4010	61
985	4014	56
986	4018	52
987	4021	48
988	4028	44
989	4033	40
990	4037	36
991	4040	32
992	4044	28
993	4048	24
994	4052	20
995	4056	16
996	4059	12
997	4063	8
998	4067	4
999	4070	0
